ISIC,NAICS
01T03,11
05T06,2111
05T06,2121
07T08,2122
07T09,2123
9,2131
10T12,311
10T12,312
13T15,313
13T15,314
13T15,315
13T15,316
16,321
17T18,322
17T18,323
19,324
20T21,325
22,326
23,327
24,331
25,332
26,334
27,335
28,333
29,3361
29,3362
30,3363
30,3364
30,3365
30,3366
30,3369
31T33,339
35T39,221
41T43,23
45T47,42
45T47,44
45T47,45
49T53,48
49T53,49
55T56,72
58T60,511
58T60,512
58T60,513
61,517
62T63,518
62T63,519
64T66,52
68,53
69T82,54
69T82,55
69T82,56
69T82,811
69T82,812
69T82,813
84,92
85,61
86T88,62
90T96,71
97T98,814
