Unit: dimensionless (ratio of electricity demand in this hour to annual demand),Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23
Winter,0.00011636144447775275,0.00011237210430072682,0.00010855926286351421,0.00010536362226645112,0.00010260118871251914,0.00010021390577222332,9.080474861421938e-05,9.379933698226799e-05,9.703952077001666e-05,0.00010129120697220831,0.0001011572747617088,0.00010444626116005447,0.00010516131279087734,0.00010671557736472786,0.00010767000735695535,0.00010846969571935961,0.00010957691489111386,0.0001137989010212151,0.00011850566724381759,0.00012018218564300247,0.00012048822401248908,0.00012250195599948903,0.00012135773884576766,0.00011917283455554678
Spring,0.00012165220172715955,0.00011912217677129571,0.0001160155326287523,0.0001131221124010501,0.0001102769003155752,0.00010756215566277106,9.817277635934151e-05,9.894223027663357e-05,0.00010205967428817696,0.0001057694141577346,0.00010636436891063864,0.00010893573211607934,0.0001096600907436981,0.00011092864517226183,0.00011242257228744022,0.00011276559566867494,0.00011281782025537819,0.00011169822446833727,0.00011339108880215588,0.0001180693516715387,0.00012199843307588745,0.00012363315840315022,0.00012311683776448584,0.0001219851904823139
Summer,0.0001302907517514134,0.00013144661164952965,0.00013140900566742798,0.0001313936350137502,0.00013049775952730437,0.000127080237324662,0.00011738367508210043,0.00011142841315286749,0.00010993445373637746,0.00011026559942838483,0.0001110776358169303,0.00011216154349982362,0.00011241658113954884,0.00011379510978148377,0.00011526053839360862,0.00011596772104724305,0.00011613365964348296,0.00011410522712084667,0.00011555915517398101,0.00011815899014692809,0.00012307978925332855,0.00012555072469927112,0.00012558455888206173,0.00012697858390431802
Fall,0.00013010050489231637,0.00013096585649793058,0.00013027207679168246,0.0001304822959745656,0.00012922096783617214,0.00012604667088970343,0.00011778364758610825,0.00011090491690083971,0.00010931207761999791,0.00011020905387974707,0.00011040086555775954,0.00011136213441333767,0.00011201923604133645,0.00011317627454710435,0.00011426131643047405,0.00011451842160831753,0.00011431991332828514,0.00011230962209231487,0.00011473589163973633,0.00011965803757641238,0.00012191252656695597,0.00012400254453408247,0.00012512523931751447,0.00012640560745386133
Summer Peak 1,0.00012849283788704096,0.00012971592953639377,0.00012919527035948228,0.00012984221623514805,0.00012993250625284013,0.00012729023053685616,0.0001180895981833588,0.00011313577868844353,0.0001110324588049386,0.00011207298165199776,0.00011358762653028572,0.00011606980651005358,0.0001170932259616909,0.00011889803193207737,0.0001204679645304499,0.00012025854737487779,0.00011916611771148024,0.00011587808937997616,0.00011898474216933228,0.00012231393797586335,0.00012637420449833274,0.0001279910719957699,0.0001277721087590321,0.00012813565535009175
Summer Peak 2,0.0001313359790608861,0.000131678046969323,0.00013084395812747168,0.00013102453816285576,0.00013014033239488464,0.00012698296604933583,0.00011585800283419005,0.00010923222699844404,0.00010840748536106743,0.00011029104650107075,0.00011197771971703189,0.00011432983434091738,0.00011521801764270757,0.00011636513839611682,0.00011733207686752387,0.00011794720247263741,0.00011740904214692218,0.00011383005721655582,0.0001169315392119472,0.00011970487466726832,0.0001237331220424945,0.00012555920781881277,0.00012615901991872304,0.00012847931427205624
Summer Peak 3,0.00013289258692096486,0.0001324785256504035,0.00013125344523414118,0.00013188527648129466,0.00013156926141937242,0.00012907813198851173,0.00011893363085975771,0.00011350946799074171,0.00011114084660150725,0.00011211037046989667,0.00011307094488719327,0.00011514443326705545,0.00011631701023690651,0.00011803629923018376,0.00011944215855852116,0.00011896584888369188,0.0001182785310397629,0.00011547476745072618,0.00011810431505848923,0.00012048984096645457,0.00012455189737914255,0.00012604904110862677,0.00012590107685055873,0.00012710129768045208
Summer Peak 4,0.00013063712636888193,0.00013030062700779168,0.00012947071457645033,0.00012984698927573092,0.00012926945136520725,0.0001266633712069765,0.0001164232103898747,0.0001090520447164418,0.00010702688337248089,0.00010925967198179537,0.00011078704496830422,0.00011352100283881691,0.00011504917133208959,0.0001167776086531506,0.00011776960558761756,0.00011772306844193486,0.0001173875634642994,0.00011425286906151908,0.0001170978001255828,0.00012039457903148872,0.00012447731862003566,0.00012669200945047352,0.000126648853208537,0.00012768161986464907
Summer Peak 5,0.00012902443528195478,0.00012874819555822292,0.0001286153459286672,0.00012925393898331302,0.00012846419964354392,0.0001261472861939569,0.0001158820669137952,0.00011018265870450209,0.00010785242051662132,0.0001087618836243433,0.00010913636843340532,0.00011134091655260465,0.00011240331583566849,0.00011421567912031112,0.00011616288080141896,0.00011682096377177807,0.0001167640850381659,0.0001136017467753433,0.00011649480599861732,0.00011906130969534867,0.00012296386700189342,0.00012488064054928566,0.0001249023181085994,0.000126319712285012
Winter Peak 1,0.0001085936339437982,0.00010285803017675187,9.868519944720382e-05,9.542640598926967e-05,9.390539705687124e-05,9.083772409894165e-05,7.662579688684395e-05,8.236259391403597e-05,8.560448285323925e-05,8.908025078100169e-05,8.785497148804842e-05,9.243072639346456e-05,9.252141416453854e-05,9.480789948040994e-05,9.717950402000868e-05,9.837316191910065e-05,0.00010107947592957103,0.000106322661009821,0.00011358484225661241,0.00011569094641379064,0.00011405041259013027,0.00011960304980150106,0.00011452274473114051,0.00010859224180696153
