Fuel Economy (passenger*miles/BTU),battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle,
LDVs,0.00126768,0.000326787,0.000332918,0.00044328,0.000713091,0.000276381,0.000587324,
HDVs,0.003156476,0.000565345,0.000963479,0.00119798,0.00198152,0.000893619,0.002680857,
aircraft,1.419E-03,4.414E-04,4.414E-04,4.414E-04,0.000E+00,0.000E+00,1.324E-03,
rail,1.241E-03,4.244E-04,4.244E-04,4.244E-04,0.000E+00,0.000E+00,1.273E-03,
ships,3.229E-05,0.000E+00,1.005E-05,1.005E-05,0.000E+00,0.000E+00,3.015E-05,
motorbikes,3.537E-03,1.111E-03,4.041E-04,1.111E-03,2.445E-03,0.000860801,0.003332132,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
